starting new log
CHALLENGE_AvvboxJriOZILfGJksEmdT00AicUE9.png, True, (200, -260), 68xax, 0x8ex68xax, CHALLENGE_AvvboxJriOZILfGJksEmdT00AicUE9_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.757999897, 3.55399990082
CHALLENGE_eLPN7y3x4UurxQaak5Z4hovXSpQ4J9.png, True, (240, -270), 7gx0x, 0x8ex7gx0x, CHALLENGE_eLPN7y3x4UurxQaak5Z4hovXSpQ4J9_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.52099990845, 3.47500014305
CHALLENGE_J71EQzlQuywouPhNswsXHx3pyN1TTl.png, False, (110, -180), 3ex2qx, 0x8ex3ex2qx, CHALLENGE_J71EQzlQuywouPhNswsXHx3pyN1TTl_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.01600003242, 3.63599991798
CHALLENGE_7453s6qTUhvhqSlSzcszDDB4F8ixQy.png, False, (130, -180), 42x2qx, 0x8ex42x2qx, CHALLENGE_7453s6qTUhvhqSlSzcszDDB4F8ixQy_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.47699999809, 3.49700021744
CHALLENGE_hJTdk7MaQzI5SbB6KtRBRdq1SW5uaW.png, False, (130, -190), 42x2gx, 0x8ex42x2gx, CHALLENGE_hJTdk7MaQzI5SbB6KtRBRdq1SW5uaW_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.73600006104, 3.57499980927
CHALLENGE_72TI8zeFM5SvJQmnFqdIDdKAHqW4uw.png, True, (70, -240), 26xux, 0x8ex26xux, CHALLENGE_72TI8zeFM5SvJQmnFqdIDdKAHqW4uw_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.30800008774, 3.52300000191
CHALLENGE_U8wIXDWL1ayWFw8Qq1NSTR2v3aHKwG.png, True, (120, -280), 3ox-ax, 0x8ex3ox-ax, CHALLENGE_U8wIXDWL1ayWFw8Qq1NSTR2v3aHKwG_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.18000006676, 3.74300003052
CHALLENGE_6308bk5VkQozUXbMDZKRu6i5WCgaui.png, False, (210, -230), 6ix18x, 0x8ex6ix18x, CHALLENGE_6308bk5VkQozUXbMDZKRu6i5WCgaui_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.25500011444, 3.4430000782
CHALLENGE_wfJUvL011dZRyqhoAdmtkJQMc5eFpQ.png, False, (130, -180), 42x2qx, 0x8ex42x2qx, CHALLENGE_wfJUvL011dZRyqhoAdmtkJQMc5eFpQ_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.21499991417, 3.51200008392
CHALLENGE_pTkAnIcIE6mvIB1XanMeBuaCpB6wZZ.png, False, (150, -130), 4mx4cx, 0x8ex4mx4cx, CHALLENGE_pTkAnIcIE6mvIB1XanMeBuaCpB6wZZ_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.87700009346, 3.62599992752
CHALLENGE_iTsdOrh01zzSGpii7WCqMyWs1p7W2y.png, False, (40, -180), 18x2qx, 0x8ex18x2qx, CHALLENGE_iTsdOrh01zzSGpii7WCqMyWs1p7W2y_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.8109998703, 3.59500002861
CHALLENGE_K7gkvFeTCwSLB9Mx1Vh9PUH3KRsuoV.png, False, (80, -190), 2gx2gx, 0x8ex2gx2gx, CHALLENGE_K7gkvFeTCwSLB9Mx1Vh9PUH3KRsuoV_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.63499999046, 3.51999998093
CHALLENGE_fVs5xAxV5RrbkqG6X3C5b8omHx08x3.png, True, (10, -240), axux, 0x8exaxux, CHALLENGE_fVs5xAxV5RrbkqG6X3C5b8omHx08x3_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.26400017738, 3.51999998093
CHALLENGE_Pb2UNtAKh9bXlrEJZAHG65QNGBnN2H.png, False, (160, -150), 50x3ox, 0x8ex50x3ox, CHALLENGE_Pb2UNtAKh9bXlrEJZAHG65QNGBnN2H_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.17199993134, 3.61000013351
CHALLENGE_wsVCcBfOQ3MHgWnktP3P5IaS68DfZW.png, False, (150, -140), 4mx42x, 0x8ex4mx42x, CHALLENGE_wsVCcBfOQ3MHgWnktP3P5IaS68DfZW_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.11299991608, 3.65900015831
CHALLENGE_Ssr1vuR4pLlLs1VsUmzL0C6wF9Hxoe.png, False, (40, -190), 18x2gx, 0x8ex18x2gx, CHALLENGE_Ssr1vuR4pLlLs1VsUmzL0C6wF9Hxoe_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.80999994278, 4.5529999733
CHALLENGE_Z8owFZWpcRNb9VZt332bMgE9rI2k9h.png, True, (110, -190), 3ex2gx, 0x8ex3ex2gx, CHALLENGE_Z8owFZWpcRNb9VZt332bMgE9rI2k9h_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.25100016594, 4.47599983215
CHALLENGE_M3SyhAx29MTMKQxSbx9VHJfTUcEUeC.png, False, (150, -150), 4mx3ox, 0x8ex4mx3ox, CHALLENGE_M3SyhAx29MTMKQxSbx9VHJfTUcEUeC_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.22100019455, 4.58699989319
CHALLENGE_CopgqStDEBbmBo8TychIE9peoAcpGW.png, False, (100, -180), 34x2qx, 0x8ex34x2qx, CHALLENGE_CopgqStDEBbmBo8TychIE9peoAcpGW_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.65199995041, 4.53900003433
CHALLENGE_dW2MRZlGfKxWppEbhHckw3VDdREOot.png, False, (140, -190), 4cx2gx, 0x8ex4cx2gx, CHALLENGE_dW2MRZlGfKxWppEbhHckw3VDdREOot_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.74099993706, 5.19200015068
CHALLENGE_Lek1qdQ5nqXP9kJSQcpgm7QxrF96ke.png, False, (130, -190), 42x2gx, 0x8ex42x2gx, CHALLENGE_Lek1qdQ5nqXP9kJSQcpgm7QxrF96ke_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.50600004196, 4.00499987602
CHALLENGE_1wEPTdx47NRAGtEcLbcvwcgxFm3M6V.png, True, (200, -210), 68x1sx, 0x8ex68x1sx, CHALLENGE_1wEPTdx47NRAGtEcLbcvwcgxFm3M6V_answer<NUM>.png, jpeg-size-solver-q-10, , [], 4.90300011635, 4.00300002098
CHALLENGE_GgNsup4fhH3eHltC8Ne2CWBd2WQEx4.png, False, (160, -140), 50x42x, 0x8ex50x42x, CHALLENGE_GgNsup4fhH3eHltC8Ne2CWBd2WQEx4_answer<NUM>.png, jpeg-size-solver-q-10, , [], 5.89399981499, 4.05500006676
CHALLENGE_fMyZ3qITX4omSsX6Tx4hLKaLWgKypP.png, False, (130, -140), 42x42x, 0x8ex42x42x, CHALLENGE_fMyZ3qITX4omSsX6Tx4hLKaLWgKypP_answer<NUM>.png, jpeg-size-solver-q-10, , [], 3.92599987984, 4.28299999237
